,Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
0,AKHNOOR(SC),MOHAN LAL,Bharatiya Janata Party,ASHOK KUMAR,Indian National Congress,24679
1,ANANTNAG,PEERZADA MOHAMMAD SYED,Indian National Congress,MEHBOOB BEG,Jammu & Kashmir Peoples Democratic Party,1686
2,ANANTNAG WEST,ABDUL MAJEED BHAT,Jammu & Kashmir National Conference,ABDUL GAFFAR SOFI,Jammu & Kashmir Peoples Democratic Party,10435
3,BAHU,VIKRAM RANDHAWA,Bharatiya Janata Party,TARANJIT SINGH TONY,Indian National Congress,11251
4,BANDIPORA,NIZAM UDDIN BHAT,Indian National Congress,USMAN ABDUL MAJID,Independent,811
5,BANI,DR RAMESHWAR SINGH,Independent,JEWAN LAL,Bharatiya Janata Party,2048
6,BANIHAL,SAJAD SHAHEEN,Jammu & Kashmir National Conference,IMTIAZ AHMED SHAN,Jammu & Kashmir Peoples Democratic Party,6110
7,BARAMULLA,JAVID HASSAN BAIG,Jammu & Kashmir National Conference,SHOAIB NABI LONE,Independent,11773
8,BASOHLI,DARSHAN KUMAR,Bharatiya Janata Party,CH. LAL SINGH,Indian National Congress,16034
9,BEERWAH,SHAFI AHMAD WANI,Jammu & Kashmir National Conference,NAZIR AHMAD KHAN,Independent,4161
10,BHADARWAH,DALEEP SINGH,Bharatiya Janata Party,SHEIKH MEHBOOB IQBAL,Jammu & Kashmir National Conference,10130
11,BILLAWAR,SATISH KUMAR SHARMA,Bharatiya Janata Party,MANOHAR LAL SHARMA,Indian National Congress,21368
12,BISHNAH(SC),RAJEEV KUMAR,Bharatiya Janata Party,NEERAJ KUNDAN,Indian National Congress,15627
13,BUDGAM,OMAR ABDULLAH,Jammu & Kashmir National Conference,AGA SYED MUNTAZIR MEHDI,Jammu & Kashmir Peoples Democratic Party,18485
14,BUDHAL(ST),JAVAID IQBAL,Jammu & Kashmir National Conference,CHOWDHARY ZULFKAR ALI,Bharatiya Janata Party,18908
15,CENTRAL SHALTENG,TARIQ HAMEED KARRA,Indian National Congress,MUHAMMAD IRFAN SHAH,Independent,14395
